1000000,2,4,8,16,32,56
Max,0.004196,0.004920,0.008805,0.009413,0.007164,0.007208
Min,0.000620,0.001559,0.001551,0.002153,0.002313,0.002446
Avg,0.002408,0.003302,0.006418,0.008048,0.006214,0.005882
10000000,2,4,8,16,32,56
Max,0.028568,0.033825,0.034940,0.040595,0.042576,0.045824
Min,0.004678,0.007054,0.008872,0.004764,0.004100,0.003912
Avg,0.016623,0.020904,0.027715,0.034288,0.036535,0.041081
100000000,2,4,8,16,32,56
Max,0.247557,0.267713,0.292592,0.359700,0.387846,0.383507
Min,0.028097,0.045113,0.053521,0.035423,0.035431,0.035171
Avg,0.137827,0.199220,0.255402,0.305583,0.343610,0.357703
