1000000,2,4,8,16,32,56
Max,0.003077,0.008666,0.004705,0.015441,0.020668,0.018918
Min,0.002817,0.003066,0.003078,0.003074,0.003057,0.003040
Avg,0.002947,0.004480,0.003399,0.004372,0.004334,0.003925
10000000,2,4,8,16,32,56
Max,0.028047,0.030619,0.077311,0.030150,0.106925,0.107332
Min,0.027988,0.027968,0.028012,0.027668,0.027759,0.027733
Avg,0.028018,0.028965,0.034830,0.028552,0.033573,0.031673
100000000,2,4,8,16,32,56
Max,0.279809,0.280156,0.289399,0.283353,0.437362,0.423860
Min,0.278859,0.276569,0.276096,0.276475,0.276449,0.276108
Avg,0.279334,0.277608,0.278498,0.277985,0.288715,0.283476
