SIZE,L,M,S
Time,0.964449,0.612628,0.540384
MFLOPS,12778.473553,4475.967014,609.481258
Power,53931.74,46172.58,37429.50
Host_to_Device(us),54.03,58.04,58.34
Device_to_Host(us),0.01,0.04,0.27
jacobi_138_gpu,40.42,37.31,32.23
jacobi_162_gpu,5.52,4.51,8.47
jacobi_138_gpu_red,0.02,0.10,0.68
jacobi_138_gpu_red,,,
flop_count_dp,467,256,128
dram_read_transactions,174,126,85
dram_write_transactions,2499,144,109
jacobi_162_gpu,,,
flop_count_dp,0,0,0
dram_read_transactions,5132495,1081060,135198
dram_write_transactions,4993343,1040240,138469
jacobi_138_gpu,,,
flop_count_dp,616268611,137137394,16483698
dram_read_transactions,79714298,15532102,1626319
dram_write_transactions,7175442,1110706,181792
