SIZE,L,M,S
Time,131.916826,44.334027,9.929472
MFLOPS,93.423913,61.850973,33.169329
Power,33367.10,33366.13,33624.26
Host_to_Device(us),74.78,90.33,82.52
Device_to_Host(us),12.17,6.88,17.03
jacobi_138_gpu,11.48,2.48,0.35
jacobi_162_gpu,1.57,0.30,0.09
jacobi_138_gpu_red,0.01,0.01,0.01
jacobi_138_gpu_red,,,
flop_count_dp,467,256,128
dram_read_transactions,185,123,85
dram_write_transactions,2327,139,102
jacobi_162_gpu,,,
flop_count_dp,0,0,0
dram_read_transactions,5131926,1081250,135036
dram_write_transactions,4752648,1041466,135650
jacobi_138_gpu,,,
flop_count_dp,616268611,137137394,16483698
dram_read_transactions,78435690,15539546,1625064
dram_write_transactions,5073295,1111406,181774
